treat,age,educ,black,hispan,married,nodegree,re74,re75,re78
1,37,11,1,0,1,1,0.0000,0.0000,9930.0460
1,22,9,0,1,0,1,0.0000,0.0000,3595.8940
1,30,12,1,0,0,0,0.0000,0.0000,24909.4500
1,27,11,1,0,0,1,0.0000,0.0000,7506.1460
1,33,8,1,0,0,1,0.0000,0.0000,289.7899
1,22,9,1,0,0,1,0.0000,0.0000,4056.4940
1,23,12,1,0,0,0,0.0000,0.0000,0.0000
1,32,11,1,0,0,1,0.0000,0.0000,8472.1580
1,22,16,1,0,0,0,0.0000,0.0000,2164.0220
1,33,12,0,0,1,0,0.0000,0.0000,12418.0700
1,19,9,1,0,0,1,0.0000,0.0000,8173.9080
1,21,13,1,0,0,0,0.0000,0.0000,17094.6400
1,18,8,1,0,0,1,0.0000,0.0000,0.0000
1,27,10,1,0,1,1,0.0000,0.0000,18739.9300
1,17,7,1,0,0,1,0.0000,0.0000,3023.8790
1,19,10,1,0,0,1,0.0000,0.0000,3228.5030
1,27,13,1,0,0,0,0.0000,0.0000,14581.8600
1,23,10,1,0,0,1,0.0000,0.0000,7693.4000
1,40,12,1,0,0,0,0.0000,0.0000,10804.3200
1,26,12,1,0,0,0,0.0000,0.0000,10747.3500
1,23,11,1,0,0,1,0.0000,0.0000,0.0000
1,41,14,0,0,0,0,0.0000,0.0000,5149.5010
1,38,9,0,0,0,1,0.0000,0.0000,6408.9500
1,24,11,1,0,0,1,0.0000,0.0000,1991.4000
1,18,10,1,0,0,1,0.0000,0.0000,11163.1700
1,29,11,1,0,1,1,0.0000,0.0000,9642.9990
1,25,11,1,0,0,1,0.0000,0.0000,9897.0490
1,27,10,0,1,0,1,0.0000,0.0000,11142.8700
1,17,10,1,0,0,1,0.0000,0.0000,16218.0400
1,24,11,1,0,0,1,0.0000,0.0000,995.7002
1,17,10,1,0,0,1,0.0000,0.0000,0.0000
1,48,4,1,0,0,1,0.0000,0.0000,6551.5920
1,25,11,1,0,1,1,0.0000,0.0000,1574.4240
1,20,12,1,0,0,0,0.0000,0.0000,0.0000
1,25,12,1,0,0,0,0.0000,0.0000,3191.7530
1,42,14,1,0,0,0,0.0000,0.0000,20505.9300
1,25,5,1,0,0,1,0.0000,0.0000,6181.8800
1,23,12,1,0,1,0,0.0000,0.0000,5911.5510
1,46,8,1,0,1,1,0.0000,0.0000,3094.1560
1,24,10,1,0,0,1,0.0000,0.0000,0.0000
1,21,12,1,0,0,0,0.0000,0.0000,1254.5820
1,19,9,0,0,0,1,0.0000,0.0000,13188.8300
1,17,8,1,0,0,1,0.0000,0.0000,8061.4850
1,18,8,0,1,1,1,0.0000,0.0000,2787.9600
1,20,11,1,0,0,1,0.0000,0.0000,3972.5400
1,25,11,1,0,1,1,0.0000,0.0000,0.0000
1,17,8,1,0,0,1,0.0000,0.0000,0.0000
1,17,9,1,0,0,1,0.0000,0.0000,0.0000
1,25,5,1,0,0,1,0.0000,0.0000,12187.4100
1,23,12,1,0,0,0,0.0000,0.0000,4843.1760
1,28,8,1,0,0,1,0.0000,0.0000,0.0000
1,31,11,1,0,1,1,0.0000,0.0000,8087.4870
1,18,11,1,0,0,1,0.0000,0.0000,0.0000
1,25,12,1,0,0,0,0.0000,0.0000,2348.9730
1,30,11,1,0,1,1,0.0000,0.0000,590.7818
1,17,10,1,0,0,1,0.0000,0.0000,0.0000
1,37,9,1,0,0,1,0.0000,0.0000,1067.5060
1,41,4,1,0,1,1,0.0000,0.0000,7284.9860
1,42,14,1,0,1,0,0.0000,0.0000,13167.5200
1,22,11,0,0,0,1,0.0000,0.0000,1048.4320
1,17,8,1,0,0,1,0.0000,0.0000,0.0000
1,29,8,1,0,0,1,0.0000,0.0000,1923.9380
1,35,10,1,0,0,1,0.0000,0.0000,4666.2360
1,27,11,1,0,0,1,0.0000,0.0000,549.2984
1,29,4,1,0,0,1,0.0000,0.0000,762.9146
1,28,9,1,0,0,1,0.0000,0.0000,10694.2900
1,27,11,1,0,0,1,0.0000,0.0000,0.0000
1,23,7,0,0,0,1,0.0000,0.0000,0.0000
1,45,5,1,0,1,1,0.0000,0.0000,8546.7150
1,29,13,1,0,0,0,0.0000,0.0000,7479.6560
1,27,9,1,0,0,1,0.0000,0.0000,0.0000
1,46,13,1,0,0,0,0.0000,0.0000,647.2046
1,18,6,1,0,0,1,0.0000,0.0000,0.0000
1,25,12,1,0,0,0,0.0000,0.0000,11965.8100
1,28,15,1,0,0,0,0.0000,0.0000,9598.5410
1,25,11,0,0,0,1,0.0000,0.0000,18783.3500
1,22,12,1,0,0,0,0.0000,0.0000,18678.0800
1,21,9,1,0,0,1,0.0000,0.0000,0.0000
1,40,11,1,0,0,1,0.0000,0.0000,23005.6000
1,22,11,1,0,0,1,0.0000,0.0000,6456.6970
1,25,12,1,0,0,0,0.0000,0.0000,0.0000
1,18,12,1,0,0,0,0.0000,0.0000,2321.1070
1,38,12,0,0,0,0,0.0000,0.0000,4941.8490
1,27,13,1,0,0,0,0.0000,0.0000,0.0000
1,27,8,1,0,0,1,0.0000,0.0000,0.0000
1,38,11,1,0,0,1,0.0000,0.0000,0.0000
1,23,8,0,1,0,1,0.0000,0.0000,3881.2840
1,26,11,1,0,0,1,0.0000,0.0000,17230.9600
1,21,12,0,0,0,0,0.0000,0.0000,8048.6030
1,25,8,1,0,0,1,0.0000,0.0000,0.0000
1,31,11,1,0,1,1,0.0000,0.0000,14509.9300
1,17,10,1,0,0,1,0.0000,0.0000,0.0000
1,25,11,1,0,0,1,0.0000,0.0000,0.0000
1,21,12,1,0,0,0,0.0000,0.0000,9983.7840
1,44,11,1,0,0,1,0.0000,0.0000,0.0000
1,25,12,0,0,0,0,0.0000,0.0000,5587.5030
1,18,9,1,0,0,1,0.0000,0.0000,4482.8450
1,42,12,1,0,0,0,0.0000,0.0000,2456.1530
1,25,10,1,0,0,1,0.0000,0.0000,0.0000
1,31,9,0,1,0,1,0.0000,0.0000,26817.6000
1,24,10,1,0,0,1,0.0000,0.0000,0.0000
1,26,10,1,0,0,1,0.0000,0.0000,9265.7880
1,25,11,1,0,0,1,0.0000,0.0000,485.2298
1,18,11,1,0,0,1,0.0000,0.0000,4814.6270
1,19,11,1,0,0,1,0.0000,0.0000,7458.1050
1,43,9,1,0,0,1,0.0000,0.0000,0.0000
1,27,13,1,0,0,0,0.0000,0.0000,34099.2800
1,17,9,1,0,0,1,0.0000,0.0000,1953.2680
1,30,11,1,0,0,1,0.0000,0.0000,0.0000
1,26,10,1,0,1,1,2027.9990,0.0000,0.0000
1,20,9,1,0,0,1,6083.9940,0.0000,8881.6650
1,17,9,0,1,0,1,445.1704,74.3435,6210.6700
1,20,12,1,0,0,0,989.2678,165.2077,0.0000
1,18,11,1,0,0,1,858.2543,214.5636,929.8839
1,27,12,1,0,1,0,3670.8720,334.0493,0.0000
1,21,12,0,0,0,0,3670.8720,334.0494,12558.0200
1,27,12,1,0,0,0,2143.4130,357.9499,22163.2500
1,20,12,1,0,0,0,0.0000,377.5686,1652.6370
1,19,10,1,0,0,1,0.0000,385.2741,8124.7150
